channelGrouping,date,visitNumber,month,year,visitHour,browser,operatingSystem,isMobile,deviceCategory,continent,subContinent,country,region,metro,city,networkDomain,hits,pageviews,bounces,newVisits,campaign,source,medium,keyword,transactionRevenue
3,2016-09-02,1,9,2016,14,5,8,0,0,3,14,51,31,0,41,214,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,17,9,8,0,0,4,20,41,77,21,101,466,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,14,8,8,0,0,4,20,38,77,21,101,251,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,12,18,5,0,0,4,7,48,77,21,101,180,1,1.0,1,1,0,19,4,4,0
5,2016-09-02,1,9,2016,20,5,1,1,1,3,16,50,33,0,9,1165,1,1.0,1,1,0,29,5,16,0
3,2016-09-02,1,9,2016,23,5,8,0,0,3,14,70,77,21,101,1165,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,15,5,1,1,1,4,12,126,19,10,49,1092,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,21,9,8,0,0,4,12,30,77,21,101,1042,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,19,5,5,0,0,3,6,115,77,21,101,476,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,15,5,5,0,0,4,20,81,49,0,1,0,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,15,5,5,0,0,4,7,99,46,0,58,868,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,13,5,8,0,0,4,20,6,77,21,101,161,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,22,5,1,1,1,1,18,85,77,21,101,0,1,1.0,1,1,0,19,4,86,0
3,2016-09-02,1,9,2016,9,5,8,0,0,5,1,5,77,21,101,1185,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,16,5,8,0,0,4,20,81,77,21,101,1183,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,18,5,5,0,0,4,20,11,77,21,101,672,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,22,5,1,1,1,4,17,55,77,21,101,397,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,18,5,1,1,1,4,12,30,77,21,101,17,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,15,8,8,0,0,3,16,50,75,0,45,61,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,20,5,5,0,0,3,6,109,60,0,86,1165,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,6,5,8,0,0,2,13,21,59,0,83,679,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,3,9,2016,16,5,8,0,0,4,12,53,77,21,101,0,1,1.0,1,0,0,19,4,4,0
3,2016-09-02,2,9,2016,15,5,1,1,1,4,20,38,27,0,68,1165,1,1.0,1,0,0,19,4,4,0
3,2016-09-02,1,9,2016,19,5,8,0,0,4,7,94,40,0,98,823,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,21,5,8,0,0,4,20,38,77,21,101,426,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,5,5,8,0,0,3,14,93,77,21,101,0,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,18,5,8,0,0,4,12,53,18,0,26,0,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,18,5,5,0,0,4,20,11,77,21,101,672,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,15,5,8,0,0,4,17,43,77,21,101,482,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,21,5,8,0,0,2,3,74,43,0,53,841,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,21,5,8,0,0,4,7,94,77,21,101,667,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,13,5,5,0,0,4,20,81,49,0,1,0,1,1.0,1,1,0,19,4,4,0
5,2016-09-02,1,9,2016,20,5,1,1,1,3,16,50,77,21,101,1165,1,1.0,1,1,0,29,5,16,0
3,2016-09-02,1,9,2016,13,5,8,0,0,4,17,77,77,21,101,1165,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,17,18,5,0,0,5,1,5,77,21,101,1165,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,20,5,5,0,0,3,14,104,0,0,0,1165,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,15,5,5,0,0,4,20,81,77,21,101,869,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,4,5,1,1,1,2,13,21,59,0,83,679,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,5,5,5,0,0,2,13,15,77,21,101,0,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,5,9,2016,19,5,1,1,2,4,12,126,77,21,101,184,1,1.0,1,0,0,19,4,4,0
3,2016-09-02,1,9,2016,18,5,3,0,0,4,12,53,18,0,26,0,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,18,5,5,0,0,4,17,110,10,0,7,885,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,23,5,8,0,0,2,13,15,63,0,84,1072,1,1.0,1,1,0,19,4,4,0
5,2016-09-02,2,9,2016,0,5,4,0,0,2,11,127,9,18,59,0,1,1.0,1,0,0,56,5,16,0
3,2016-09-02,1,9,2016,15,5,8,0,0,3,19,121,29,0,38,342,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,2,9,2016,22,5,8,0,0,2,3,74,43,0,53,841,1,1.0,1,0,0,19,4,4,0
3,2016-09-02,1,9,2016,23,5,8,0,0,3,16,9,0,0,0,1165,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,22,5,5,0,0,4,7,94,77,21,101,1111,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,23,18,5,0,0,3,6,57,77,21,101,123,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,2,5,5,0,0,2,13,3,8,0,15,1054,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,18,5,8,0,0,4,7,94,40,0,98,97,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,12,8,8,0,0,3,6,22,77,21,101,1165,1,1.0,1,1,0,7,4,16,0
3,2016-09-02,1,9,2016,3,5,8,0,0,4,17,106,77,21,101,72,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,2,5,8,0,0,4,20,41,0,0,0,1282,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,16,5,8,0,0,4,20,11,77,21,101,889,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,20,5,1,1,1,4,17,110,12,0,51,1165,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,18,5,1,1,1,4,12,126,77,21,101,334,1,1.0,1,1,0,7,4,16,0
3,2016-09-02,1,9,2016,14,5,5,0,0,4,7,28,77,21,101,1169,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,19,5,8,0,0,3,14,93,77,21,101,826,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,1,18,5,0,0,4,20,38,77,21,101,0,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,14,9,8,0,0,4,20,41,77,21,101,1036,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,20,5,5,0,0,3,6,22,77,21,101,1295,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,0,5,8,0,0,4,12,113,77,21,101,1069,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,2,9,2016,13,5,8,0,0,4,20,81,77,21,101,0,1,1.0,1,0,0,19,4,4,0
3,2016-09-02,1,9,2016,13,5,5,0,0,3,6,57,77,21,101,1271,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,23,7,8,0,0,4,7,99,77,21,101,598,1,1.0,1,1,0,8,4,4,0
3,2016-09-02,1,9,2016,19,18,11,1,1,2,11,19,77,21,101,1087,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,11,5,11,1,1,3,19,125,17,0,25,65,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,3,5,8,0,0,2,3,74,77,21,101,546,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,18,5,8,0,0,4,20,114,77,21,101,890,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,11,16,1,1,1,3,16,50,14,0,63,780,1,1.0,1,1,0,19,4,26,0
3,2016-09-02,1,9,2016,15,15,1,1,1,3,14,117,77,21,101,0,1,1.0,1,1,0,19,4,4,0
5,2016-09-02,1,9,2016,21,5,8,0,0,2,11,127,77,21,101,62,1,1.0,1,1,0,55,5,16,0
3,2016-09-02,1,9,2016,8,5,5,0,0,3,14,117,3,0,6,18,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,1,5,8,0,0,2,3,74,77,21,101,842,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,8,5,5,0,0,3,14,117,77,21,101,1209,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,19,5,5,0,0,2,13,3,8,0,15,818,1,1.0,1,1,0,19,4,4,0
5,2016-09-02,1,9,2016,22,18,11,1,1,5,1,5,47,0,92,784,1,1.0,1,1,0,55,5,16,0
4,2016-09-02,1,9,2016,4,5,1,1,1,2,11,127,77,21,101,0,1,1.0,1,1,3,19,2,19,0
3,2016-09-02,1,9,2016,18,5,1,1,1,4,12,126,77,21,101,184,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,17,5,8,0,0,4,7,99,77,21,101,1004,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,21,5,11,1,1,4,20,81,49,0,1,584,1,1.0,1,1,0,19,4,4,0
5,2016-09-02,1,9,2016,8,18,11,1,2,2,11,127,77,21,101,898,1,1.0,1,1,0,55,5,16,0
3,2016-09-02,1,9,2016,15,8,8,0,0,3,14,117,77,21,101,0,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,3,5,8,0,0,4,20,114,77,21,101,1021,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,21,5,8,0,0,4,7,28,77,21,101,0,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,15,5,5,0,0,4,20,38,77,21,101,845,1,1.0,1,1,0,19,4,4,0
5,2016-09-02,1,9,2016,1,5,5,0,0,3,16,50,33,0,9,168,1,1.0,1,1,0,56,5,16,0
3,2016-09-02,1,9,2016,15,5,8,0,0,4,17,55,77,21,101,356,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,19,18,5,0,0,4,20,11,77,21,101,1165,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,3,18,11,1,1,4,12,113,77,21,101,1049,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,18,5,1,1,1,3,14,104,0,0,88,633,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,2,9,2016,23,5,1,1,1,4,17,43,77,21,101,797,1,1.0,1,0,0,19,4,4,0
3,2016-09-02,1,9,2016,16,5,8,0,0,2,11,127,48,12,64,253,1,1.0,1,1,0,7,4,16,0
3,2016-09-02,1,9,2016,14,5,8,0,0,4,7,99,77,21,101,586,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,13,5,8,0,0,4,20,81,49,0,1,0,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,16,5,8,0,0,3,14,117,77,21,101,94,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,20,5,8,0,0,4,17,95,77,21,101,0,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,1,5,1,1,1,4,20,114,77,21,101,477,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,13,5,8,0,0,4,20,11,77,21,101,146,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,15,5,8,0,0,4,17,43,77,21,101,797,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,23,18,5,0,0,4,20,114,77,21,101,0,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,22,18,5,0,0,3,14,104,0,0,88,952,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,2,9,2016,13,5,8,0,0,3,6,115,77,21,101,476,1,1.0,1,0,0,19,4,4,0
3,2016-09-02,1,9,2016,14,5,5,0,0,3,14,117,77,21,101,94,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,18,5,8,0,0,4,17,55,77,21,101,727,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,14,5,1,1,2,4,17,110,77,21,101,774,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,6,5,1,1,1,2,13,15,62,0,75,1096,1,1.0,1,1,0,19,4,39,0
3,2016-09-02,11,9,2016,14,5,8,0,0,4,20,38,27,0,68,676,1,1.0,1,0,0,19,4,4,0
3,2016-09-02,1,9,2016,2,18,11,1,2,4,7,28,77,21,101,1169,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,13,5,5,0,0,4,12,53,18,0,26,0,1,1.0,1,1,0,19,4,4,0
5,2016-09-02,1,9,2016,15,5,8,0,0,3,16,50,68,0,35,54,1,1.0,1,1,0,3,5,16,0
3,2016-09-02,2,9,2016,4,18,11,1,1,4,12,113,77,21,101,1049,1,1.0,1,0,0,19,4,4,0
3,2016-09-02,1,9,2016,5,18,11,1,1,2,11,19,77,21,101,945,1,1.0,1,1,0,19,4,4,0
0,2016-09-02,1,9,2016,15,9,8,0,0,3,16,50,14,0,63,1165,1,1.0,1,1,5,2,1,16,0
1,2016-09-02,1,9,2016,3,5,1,1,1,2,11,19,52,0,95,1165,1,1.0,1,1,0,0,0,16,0
5,2016-09-02,1,9,2016,20,5,8,0,0,2,13,3,8,0,15,818,1,1.0,1,1,0,3,5,16,0
3,2016-09-02,1,9,2016,14,18,11,1,1,4,20,6,77,21,101,1060,1,1.0,1,1,0,19,4,4,0
5,2016-09-02,2,9,2016,4,5,5,0,0,2,11,127,9,18,59,0,1,1.0,1,0,0,41,5,16,0
3,2016-09-02,2,9,2016,7,5,1,1,1,2,11,127,16,20,99,0,1,1.0,1,0,0,7,4,16,0
0,2016-09-02,3,9,2016,1,5,8,0,0,2,11,127,9,11,50,898,1,1.0,1,0,5,2,1,16,0
0,2016-09-02,1,9,2016,16,5,5,0,0,3,16,50,39,0,73,1165,1,1.0,1,1,5,2,1,16,0
3,2016-09-02,4,9,2016,4,5,1,1,1,2,11,127,9,18,80,0,1,1.0,1,0,0,19,4,4,0
1,2016-09-02,57,9,2016,21,5,5,0,0,2,11,127,74,19,85,864,1,1.0,1,0,0,0,0,16,0
0,2016-09-02,1,9,2016,2,5,8,0,0,2,13,92,77,21,101,34,1,1.0,1,1,5,2,1,16,0
5,2016-09-02,1,9,2016,13,5,8,0,0,3,6,47,77,21,101,1165,1,1.0,1,1,0,22,5,16,0
3,2016-09-02,1,9,2016,0,5,8,0,0,2,13,15,77,21,101,1073,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,1,5,8,0,0,2,3,74,77,21,101,842,1,1.0,1,1,0,19,4,4,0
5,2016-09-02,1,9,2016,4,5,8,0,0,3,16,50,14,0,63,54,1,1.0,1,1,0,20,5,16,0
5,2016-09-02,1,9,2016,23,5,3,0,0,2,11,127,77,21,101,370,1,1.0,1,1,0,41,5,16,0
3,2016-09-02,3,9,2016,2,5,1,1,1,2,11,127,9,18,67,0,1,1.0,1,0,0,19,4,4,0
5,2016-09-02,6,9,2016,3,5,5,0,0,2,11,127,9,18,67,260,1,1.0,1,0,0,41,5,16,0
0,2016-09-02,1,9,2016,11,5,8,0,0,1,18,85,77,21,101,0,1,1.0,1,1,5,2,1,16,0
5,2016-09-02,1,9,2016,10,5,11,1,1,3,6,57,77,21,101,804,1,1.0,1,1,0,49,5,16,0
5,2016-09-02,2,9,2016,14,5,8,0,0,3,16,50,77,21,101,1165,1,1.0,1,0,0,3,5,16,0
3,2016-09-02,1,9,2016,15,8,8,0,0,4,7,48,77,21,101,712,1,1.0,1,1,0,19,4,4,0
0,2016-09-02,1,9,2016,23,5,5,0,0,2,11,127,77,21,101,1165,1,1.0,1,1,5,2,1,16,0
5,2016-09-02,6,9,2016,6,5,4,0,0,2,11,127,74,19,85,0,1,1.0,1,0,0,41,5,16,0
3,2016-09-02,1,9,2016,16,9,8,0,0,4,12,126,77,21,101,184,1,1.0,1,1,0,19,4,4,0
5,2016-09-02,1,9,2016,15,8,8,0,0,4,20,41,77,21,101,107,1,1.0,1,1,0,22,5,16,0
3,2016-09-02,1,9,2016,13,8,5,0,0,2,11,127,9,18,82,260,1,1.0,1,1,0,19,4,4,0
5,2016-09-02,1,9,2016,0,5,5,0,0,2,11,127,9,18,59,0,1,1.0,1,1,0,41,5,16,0
3,2016-09-02,1,9,2016,2,18,11,1,2,4,17,55,77,21,101,397,1,1.0,1,1,0,19,4,4,0
0,2016-09-02,1,9,2016,16,5,8,0,0,3,16,50,39,0,60,1232,1,1.0,1,1,5,2,1,16,0
3,2016-09-02,1,9,2016,20,8,8,0,0,3,14,117,77,21,101,94,1,1.0,1,1,0,19,4,4,0
0,2016-09-02,3,9,2016,14,5,5,0,0,4,12,113,77,21,101,407,1,1.0,1,0,5,2,1,16,0
5,2016-09-02,1,9,2016,15,8,8,0,0,4,7,94,77,21,101,487,1,1.0,1,1,0,26,5,16,0
5,2016-09-02,2,9,2016,4,5,5,0,0,2,13,3,8,0,15,818,1,1.0,1,0,0,3,5,16,0
0,2016-09-02,1,9,2016,23,5,5,0,0,2,11,127,9,18,80,0,1,1.0,1,1,5,2,1,16,0
0,2016-09-02,1,9,2016,17,5,8,0,0,4,12,30,77,21,101,1001,1,1.0,1,1,5,2,1,16,0
0,2016-09-02,1,9,2016,2,5,8,0,0,4,7,94,40,0,98,718,1,1.0,1,1,5,2,1,16,0
5,2016-09-02,1,9,2016,19,8,8,0,0,4,20,6,77,21,101,1007,1,1.0,1,1,0,22,5,16,0
0,2016-09-02,1,9,2016,1,5,5,0,0,2,11,127,77,21,101,260,1,1.0,1,1,5,2,1,16,0
5,2016-09-02,1,9,2016,19,5,8,0,0,2,13,3,8,0,15,818,1,1.0,1,1,0,3,5,16,0
0,2016-09-02,1,9,2016,16,8,8,0,0,4,20,41,77,21,101,1219,1,1.0,1,1,5,2,1,16,0
3,2016-09-02,1,9,2016,14,5,1,1,1,3,14,131,77,21,101,1217,1,1.0,1,1,0,19,4,4,0
0,2016-09-02,1,9,2016,18,5,5,0,0,4,17,110,10,0,7,885,1,1.0,1,1,5,2,1,16,0
5,2016-09-02,1,9,2016,21,5,5,0,0,2,11,127,77,21,101,157,1,1.0,1,1,0,3,5,16,0
0,2016-09-02,1,9,2016,19,5,8,0,0,3,16,50,39,0,60,54,1,1.0,1,1,5,2,1,16,0
5,2016-09-02,1,9,2016,4,5,8,0,0,2,13,3,8,0,15,818,1,1.0,1,1,0,3,5,16,0
5,2016-09-02,1,9,2016,4,5,5,0,0,2,11,127,9,18,59,0,1,1.0,1,1,0,41,5,16,0
1,2016-09-02,56,9,2016,19,5,5,0,0,2,11,127,74,19,85,864,1,1.0,1,0,0,0,0,16,0
0,2016-09-02,1,9,2016,4,5,5,0,0,2,13,3,8,0,15,818,1,1.0,1,1,5,2,1,16,0
3,2016-09-02,1,9,2016,22,5,1,1,1,4,12,126,19,10,49,1165,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,2,9,2016,16,5,8,0,0,4,17,110,77,21,101,885,1,1.0,1,0,0,19,4,4,0
3,2016-09-02,1,9,2016,19,5,1,1,2,4,7,48,77,21,101,180,1,1.0,1,1,0,19,4,4,0
5,2016-09-02,1,9,2016,0,5,5,0,0,2,11,127,9,18,59,0,1,1.0,1,1,0,56,5,16,0
5,2016-09-02,1,9,2016,15,5,5,0,0,3,16,50,77,21,101,0,1,1.0,1,1,0,41,5,16,0
5,2016-09-02,2,9,2016,12,5,8,0,0,3,6,57,77,21,101,445,1,1.0,1,0,0,3,5,16,0
0,2016-09-02,1,9,2016,14,5,8,0,0,4,12,126,77,21,101,1210,1,1.0,1,1,5,2,1,16,0
3,2016-09-02,1,9,2016,21,5,5,0,0,2,13,3,77,21,101,988,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,8,5,8,0,0,2,11,19,77,21,101,0,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,1,5,1,1,1,3,14,51,31,0,41,1165,1,1.0,1,1,0,19,4,4,0
5,2016-09-02,1,9,2016,19,18,11,1,1,2,11,127,77,21,101,0,1,1.0,1,1,0,22,5,16,0
3,2016-09-02,1,9,2016,22,5,8,0,0,4,17,110,10,0,7,885,1,1.0,1,1,0,19,4,4,0
5,2016-09-02,7,9,2016,3,5,5,0,0,2,11,127,9,18,67,260,1,1.0,1,0,0,40,5,16,0
5,2016-09-02,1,9,2016,11,8,4,0,0,3,16,50,39,0,60,1165,1,1.0,1,1,0,3,5,16,0
3,2016-09-02,2,9,2016,10,18,11,1,1,2,11,127,77,21,101,260,1,1.0,1,0,0,19,4,4,0
3,2016-09-02,1,9,2016,22,5,1,1,1,4,7,48,77,21,101,320,1,1.0,1,1,0,19,4,4,0
5,2016-09-02,1,9,2016,4,5,8,0,0,2,13,3,8,0,15,818,1,1.0,1,1,0,3,5,16,0
0,2016-09-02,1,9,2016,20,5,8,0,0,4,7,99,77,21,101,542,1,1.0,1,1,5,2,1,16,0
0,2016-09-02,1,9,2016,14,18,11,1,2,5,1,5,57,0,13,263,1,1.0,1,1,5,2,1,16,0
5,2016-09-02,2,9,2016,2,5,5,0,0,2,11,127,77,21,101,261,1,1.0,1,0,0,41,5,16,0
0,2016-09-02,1,9,2016,19,5,8,0,0,3,16,50,33,0,9,1165,1,1.0,1,1,5,2,1,16,0
3,2016-09-02,1,9,2016,23,5,1,1,1,2,11,127,48,12,64,1103,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,7,5,1,1,1,2,11,127,77,21,101,0,1,1.0,1,1,0,19,4,81,0
3,2016-09-02,1,9,2016,18,5,8,0,0,4,17,55,77,21,101,727,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,8,15,8,0,0,3,16,111,0,0,20,1165,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,11,5,8,0,0,3,14,117,77,21,101,1107,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,15,5,8,0,0,4,17,55,35,0,76,625,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,21,5,1,1,1,2,11,127,9,18,80,697,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,4,7,8,0,0,4,17,103,77,21,101,1063,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,16,5,8,0,0,2,11,19,77,21,101,1206,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,22,5,1,1,1,2,11,127,28,4,18,110,1,1.0,1,1,0,19,4,64,0
3,2016-09-02,1,9,2016,11,5,5,0,0,3,6,115,77,21,101,476,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,10,5,8,0,0,3,6,109,77,21,101,1165,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,0,5,8,0,0,3,19,121,77,21,101,1123,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,19,18,5,0,0,4,20,11,77,21,101,1066,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,14,5,5,0,0,4,17,110,10,0,7,39,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,3,9,2016,16,5,5,0,0,4,17,95,12,0,51,1224,1,1.0,1,0,0,19,4,16,0
3,2016-09-02,1,9,2016,15,5,4,0,0,4,17,55,35,0,76,1251,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,20,5,8,0,0,4,20,6,77,21,101,521,1,1.0,1,1,0,19,4,4,0
3,2016-09-02,1,9,2016,12,7,8,0,0,4,12,86,77,21,101,772,1,1.0,1,1,0,19,4,4,0
5,2016-09-02,4,9,2016,0,5,3,0,0,2,11,127,9,11,50,152,1,1.0,1,0,0,32,5,16,0
